,, , ,  /t, /t, /t,     
          delta ,    ,   ,   ,     
          0,  +0,  x,  x,   x 
      17730,  +2, 14, 16, 170 
      17790,  +2, 15,  0,  93 
      17850,  +2, 15,  1,  77 
      17910,  +2, 15,  2,  83 
      17970,  +2, 15,  3,  83 
      18030,  +2, 15,  4,  83 
      18090,  +2, 15,  5,  92 
      18150,  +2, 15,  6,  99 
      18210,  +2, 15,  7,  99 
      18270,  +2, 15,  8, 104 
      18330,  +2, 15,  9, 119 
      18390,  +2, 15, 10, 138 
      18450,  +2, 15, 11, 149 
      18510,  +2, 15, 12, 157 
      18570,  +2, 15, 13, 166 
      18630,  +2, 15, 14, 167 
      18690,  +2, 15, 15, 154 
      18750,  +2, 15, 16, 127 
      18810,  +2, 16,  0,  20 
      18870,  +2, 16,  1,  91 
      18930,  +2, 16,  2,  86 
      18990,  +2, 16,  3,  95 
      19050,  +2, 16,  4,  48 
      19110,  +2, 16,  5,  90 
      19170,  +2, 16,  6,  88 
      19230,  +2, 16,  7,  86 
      19290,  +2, 16,  8,  58 
      19350,  +2, 16,  9, 100 
      19410,  +2, 16, 10, 126 
      19470,  +2, 16, 11, 126 
      19530,  +2, 16, 12, 129 
      19590,  +2, 16, 13, 141 
      19650,  +2, 16, 14, 150 
      19710,  +2, 16, 15, 141 
      19770,  +2, 16, 16, 100 
