         ns       /testbench/out    
          delta                     
     254490  +2           -19454 
     256890  +2           -18889 
     259290  +2           -18282 
     261690  +2           -17611 
     264090  +2           -16866 
     266490  +2           -16053 
     268890  +2           -15191 
     271290  +2           -14307 
     273690  +2           -13432 
     276090  +2           -12593 
     278490  +2           -11809 
     280890  +2           -11085 
     283290  +2           -10411 
     285690  +2            -9768 
     288090  +2            -9130 
     290490  +2            -8470 
     292890  +2            -7770 
     295290  +2            -7023 
     297690  +2            -6233 
     300090  +2            -5417 
     302490  +2            -4597 
     304890  +2            -3795 
     307290  +2            -3027 
     309690  +2            -2298 
     312090  +2            -1604 
     314490  +2             -930 
     316890  +2             -255 
     319290  +2              439 
     321690  +2             1164 
     324090  +2             1924 
     326490  +2             2711 
     328890  +2             3509 
     331290  +2             4299 
     333690  +2             5065 
     336090  +2             5800 
     338490  +2             6504 
     340890  +2             7188 
     343290  +2             7869 
     345690  +2             8563 
     348090  +2             9282 
     350490  +2            10030 
     352890  +2            10800 
     355290  +2            11579 
     357690  +2            12351 
     360090  +2            13103 
     362490  +2            13830 
     364890  +2            14534 
     367290  +2            15225 
     369690  +2            15919 
     372090  +2            16628 
     374490  +2            17359 
     376890  +2            18112 
     379290  +2            18877 
     381690  +2            19640 
     384090  +2            20389 
     386490  +2            21115 
     388890  +2            21816 
     391290  +2            22498 
     393690  +2            23169 
     396090  +2            23837 
     398490  +2            24507 
     400890  +2            25176 
     403290  +2            25833 
     405690  +2            26464 
     408090  +2            27051 
     410490  +2            27580 
     412890  +2            28042 
     415290  +2            28432 
     417690  +2            28746 
     420090  +2            28980 
     422490  +2            29129 
     424890  +2            29183 
     427290  +2            29127 
     429690  +2            28946 
     432090  +2            28629 
     434490  +2            28170 
     436890  +2            27571 
     439290  +2            26845 
     441690  +2            26013 
     444090  +2            25100 
     446490  +2            24131 
     448890  +2            23130 
     451290  +2            22118 
     453690  +2            21114 
     456090  +2            20137 
     458490  +2            19205 
     460890  +2            18335 
     463290  +2            17541 
     465690  +2            16831 
     468090  +2            16205 
     470490  +2            15650 
     472890  +2            15142 
     475290  +2            14651 
     477690  +2            14146 
     480090  +2            13598 
     482490  +2            12985 
     484890  +2            12299 
     487290  +2            11545 
     489690  +2            10736 
     492090  +2             9892 
     494490  +2             9034 
     496890  +2             8181 
     499290  +2             7349 
     501690  +2             6550 
     504090  +2             5793 
     506490  +2             5081 
     508890  +2             4412 
     511290  +2             3780 
     513690  +2             3171 
     516090  +2             2566 
     518490  +2             1945 
     520890  +2             1288 
     523290  +2              581 
     525690  +2             -179 
     528090  +2             -983 
     530490  +2            -1813 
     532890  +2            -2642 
     535290  +2            -3444 
     537690  +2            -4199 
     540090  +2            -4900 
     542490  +2            -5553 
     544890  +2            -6174 
     547290  +2            -6786 
     549690  +2            -7414 
     552090  +2            -8076 
     554490  +2            -8780 
     556890  +2            -9524 
     559290  +2           -10297 
     561690  +2           -11082 
     564090  +2           -11861 
     566490  +2           -12617 
     568890  +2           -13340 
     571290  +2           -14029 
     573690  +2           -14687 
     576090  +2           -15325 
     578490  +2           -15958 
     580890  +2           -16599 
     583290  +2           -17261 
